Name,Converged,N_imag,E_el (Eh),ZPE (Eh),H (Eh),G (Eh),dE_el (kcal/mol),dH (kcal/mol),dG (kcal/mol),Population (%),Dipole (D),HOMO (eV),LUMO (eV),Gap (eV)
Benzofuroxan 3-oxide,True,0,-678.617917201558,0.11164974356778024,-678.4956954461882,-678.541415004342,0.0,0.0,0.0,78.15,3.597,-6.412,-2.917,3.494
Benzofuroxan 1-oxide,True,0,-678.616716768899,0.11159471243088641,-678.4945259854094,-678.5402118489893,0.753,0.734,0.755,21.85,4.252,-6.342,-2.895,3.447
